codeTenrac,nomTenrac,courrielT,telT,adresseT,numOrganisation,nomGrade,nomRang,nomTitre,nomDignite,siret
201,Pierre Brun,p.brun@mail.com,0601,Rue A,1,Grand Chevalier,Compagnon,Protecteur,Grand Maître,1001
202,Marie Vert,m.vert@mail.com,0602,Rue B,6,Dame,Novice,Philanthrope,Maître,1002
203,Jean Blanc,j.blanc@mail.com,0603,Rue C,7,Adhérent,Novice,,NULL,1003
204,Lucie Bleu,l.bleu@mail.com,0604,Rue D,1,Haute Dame,Compagnon,Honorable,Grand Chancelier,1001
205,Marc Noir,m.noir@mail.com,0605,Rue E,8,Chevalier,Novice,,,1004
206,Julie Rose,j.rose@mail.com,0606,Rue F,9,Affilié,NULL,,NULL,1005
207,Paul Gris,p.gris@mail.com,0607,Rue G,2,Commandeur,Compagnon,,Maître,1006
208,Anne Cyan,a.cyan@mail.com,0608,Rue H,10,Sympathisant,NULL,,NULL,1007
209,Eric Or,e.or@mail.com,0609,Rue I,3,Grand’Croix,Compagnon,Protecteur,Grand Maître,1008
210,Sara Jade,s.jade@mail.com,0610,Rue J,11,Adhérent,Novice,,NULL,1009
211,Bob Zinc,b.zinc@mail.com,0611,Rue K,4,Chevalier,Compagnon,Honorable,Maître,1010
212,Tina Lin,t.lin@mail.com,0612,Rue L,12,Affilié,NULL,,NULL,1011
213,Yann Fer,y.fer@mail.com,0613,Rue M,5,Dame,Novice,,NULL,1012
214,Inès Alu,i.alu@mail.com,0614,Rue N,13,Sympathisant,NULL,,NULL,1013
215,Omar Bois,o.bois@mail.com,0615,Rue O,14,Adhérent,Novice,,NULL,1014
216,Eva Cuivre,e.cuivre@mail.com,0616,Rue P,15,Commandeur,Compagnon,,Maître,1015
217,Hugo Plomb,h.plomb@mail.com,0617,Rue Q,16,Chevalier,Novice,,NULL,1016
218,Léa Inox,l.inox@mail.com,0618,Rue R,17,Dame,Compagnon,Philanthrope,NULL,1017
219,Alan Teck,a.teck@mail.com,0619,Rue S,18,Grand Chevalier,Novice,,Grand Maître,1018
220,Zoé Soie,z.soie@mail.com,0620,Rue T,19,Affilié,NULL,,NULL,1019
